L,fgc_MHz,fpc_MHz,GM_dB,PM_deg,Status
100µ,1.51004810929276,19.4310381137521,30.9262226695809,74.3233609912108,Stable
200µ,1.50884253334736,19.4761364150848,30.9624896633455,75.8314612009318,Stable
500µ,1.50861142703664,19.5031346077337,30.9841519186056,76.734936218472,Stable
1m,1.50861685425199,19.5121238901564,30.9913564353781,77.0355991580005,Stable
2m,1.50863504385769,19.5166166363265,30.9949556579829,77.1858129874092,Stable
5m,1.50865091010999,19.5193116778149,30.9971142211539,77.2759004829699,Stable
10m,1.508657024235,19.5202099239591,30.9978335805671,77.305922585214,Stable
20m,1.50866023604885,19.5206590280911,30.9981932299736,77.3209322874424,Stable
50m,1.50866221265658,19.5209284845103,30.9984090099228,77.329937673987,Stable
100m,1.508662879779,19.5210183023065,30.9984809349568,77.3329393967745,Stable
